# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'L1-dcache-load-misses'
# Event count (approx.): 620524007
#
# Overhead  Command  Shared Object     Symbol                               
# ........  .......  ................  .....................................
#
    20.62%  app      app               [.] aabb_ray_intersection
    10.30%  app      libc.so.6         [.] msort_with_tmp.part.0
     8.56%  app      app               [.] y_compare
     7.64%  app      app               [.] x_compare
     7.36%  app      app               [.] build_boxes
     6.90%  app      app               [.] z_compare
     5.08%  app      libm.so.6         [.] __fmax
     4.79%  app      app               [.] box_ray_intersection
     4.74%  app      libm.so.6         [.] __fmin
     3.82%  app      app               [.] get_first_object
     3.70%  app      app               [.] build_tree
     3.11%  app      app               [.] triangle_ray_intersection
     2.24%  app      libc.so.6         [.] __memmove_avx_unaligned_erms
     2.21%  app      app               [.] sphere_ray_intersection
     1.59%  app      app               [.] is_shaded_by_object
     1.12%  app      app               [.] aabb_merge
     1.06%  app      app               [.] fmax@plt
     0.96%  app      app               [.] get_surface_area
     0.59%  app      app               [.] fmin@plt
     0.42%  app      app               [.] normalize
     0.30%  app      libc.so.6         [.] __memmove_avx_unaligned
     0.23%  app      app               [.] trace_ray
     0.15%  app      [unknown]         [k] 0xffffffff83c2c68e
     0.11%  app      app               [.] create_ray
     0.11%  app      app               [.] get_box_result
     0.09%  app      app               [.] get_first_plane
     0.08%  app      app               [.] add_triangle
     0.07%  app      app               [.] render
     0.07%  app      app               [.] get_sphere_result
     0.07%  app      app               [.] main
     0.06%  app      app               [.] get_first_hit
     0.06%  app      app               [.] add_sphere
     0.05%  app      [unknown]         [k] 0xffffffff84b34980
     0.05%  app      libm.so.6         [.] __ieee754_pow_fma
     0.04%  app      app               [.] is_shaded_by_plane
     0.03%  app      [unknown]         [k] 0xffffffff83400ef0
     0.03%  app      [unknown]         [k] 0xffffffff83400b90
     0.03%  app      libm.so.6         [.] __sincos_fma
     0.02%  app      [unknown]         [k] 0xffffffff83817352
     0.02%  app      [unknown]         [k] 0xffffffff8380943d
     0.02%  app      [unknown]         [k] 0xffffffff84b202f8
     0.02%  app      [unknown]         [k] 0xffffffff8395f6cf
     0.02%  app      [unknown]         [k] 0xffffffff83bfe8a1
     0.02%  app      [unknown]         [k] 0xffffffff83944e20
     0.02%  app      [unknown]         [k] 0xffffffff838b95a5
     0.02%  app      [unknown]         [k] 0xffffffff84b13125
     0.02%  app      [unknown]         [k] 0xffffffff84b202e4
     0.02%  app      app               [.] add_box
     0.02%  app      [unknown]         [k] 0xffffffff83809284
     0.02%  app      [unknown]         [k] 0xffffffff84b32947
     0.02%  app      [unknown]         [k] 0xffffffff837afa23
     0.02%  app      [unknown]         [k] 0xffffffff83bfcbb5
     0.02%  app      app               [.] get_triangle_result
     0.02%  app      [unknown]         [k] 0xffffffff83bfe87d
     0.01%  app      [unknown]         [k] 0xffffffff83bfe885
     0.01%  app      [unknown]         [k] 0xffffffff8397890c
     0.01%  app      [unknown]         [k] 0xffffffff834016b0
     0.01%  app      libc.so.6         [.] _int_malloc
     0.01%  app      [unknown]         [k] 0xffffffff8395f680
     0.01%  app      libc.so.6         [.] qsort_r_mergesort
     0.01%  app      [unknown]         [k] 0xffffffff83995313
     0.01%  app      libc.so.6         [.] memcpy@@GLIBC_2.14@plt
     0.01%  app      [unknown]         [k] 0xffffffff83944e36
     0.01%  app      [unknown]         [k] 0xffffffff83bfdea7
     0.01%  app      [unknown]         [k] 0xffffffff83bfe224
     0.01%  app      [unknown]         [k] 0xffffffff83c34961
     0.01%  app      [unknown]         [k] 0xffffffff83400b93
     0.01%  app      [unknown]         [k] 0xffffffff84053872
     0.01%  app      [unknown]         [k] 0xffffffff83becbeb
     0.01%  app      [unknown]         [k] 0xffffffff84ae9c20
     0.01%  app      [unknown]         [k] 0xffffffff838ab2a2
     0.01%  app      [unknown]         [k] 0xffffffff838b91a2
     0.01%  app      app               [.] color_to_pixel
     0.01%  app      [unknown]         [k] 0xffffffff838b9673
     0.01%  app      app               [.] rotate
     0.01%  app      [unknown]         [k] 0xffffffff83400ef3
     0.01%  app      [unknown]         [k] 0xffffffff834016b8
     0.01%  app      [unknown]         [k] 0xffffffff83bfe7d2
     0.01%  app      [unknown]         [k] 0xffffffff834011b2
     0.01%  app      [unknown]         [k] 0xffffffff83b61b37
     0.01%  app      [unknown]         [k] 0xffffffff83995cc5
     0.01%  app      [unknown]         [k] 0xffffffff83c337d1
     0.01%  app      [unknown]         [k] 0xffffffff83bfc61c
     0.01%  app      libc.so.6         [.] _pthread_cleanup_push@@GLIBC_2.34
     0.01%  app      [unknown]         [k] 0xffffffff83bfe275
     0.01%  app      [unknown]         [k] 0xffffffff838b918c
     0.01%  app      [unknown]         [k] 0xffffffff838b9641
     0.01%  app      [unknown]         [k] 0xffffffff838de7c5
     0.01%  app      [unknown]         [k] 0xffffffff838175ba
     0.01%  app      [unknown]         [k] 0xffffffff84b1312e
     0.01%  app      [unknown]         [k] 0xffffffff838aa599
     0.01%  app      [unknown]         [k] 0xffffffff83976924
     0.01%  app      [unknown]         [k] 0xffffffff8393aab4
     0.01%  app      [unknown]         [k] 0xffffffff8395f6ca
     0.01%  app      [unknown]         [k] 0xffffffff83bfe8a7
     0.01%  app      [unknown]         [k] 0xffffffff83bfe74c
     0.01%  app      [unknown]         [k] 0xffffffff84b1d0aa
     0.01%  app      [unknown]         [k] 0xffffffff83bfe1bb
     0.01%  app      [unknown]         [k] 0xffffffff83c32871
     0.01%  app      [unknown]         [k] 0xffffffff83b5d91d
     0.01%  app      [unknown]         [k] 0xffffffff84b1ba3e
     0.01%  app      [unknown]         [k] 0xffffffff83c12f93
     0.01%  app      [unknown]         [k] 0xffffffff838b9565
     0.01%  app      [unknown]         [k] 0xffffffff83bc5d46
     0.01%  app      [unknown]         [k] 0xffffffff838b83a5
     0.01%  app      [unknown]         [k] 0xffffffff838b965c
     0.01%  app      [unknown]         [k] 0xffffffff838b96b5
     0.01%  app      [unknown]         [k] 0xffffffff84b130af
     0.01%  app      [unknown]         [k] 0xffffffff839be3b5
     0.01%  app      [unknown]         [k] 0xffffffff838174b4
     0.01%  app      [unknown]         [k] 0xffffffff83cbab03
     0.01%  app      [unknown]         [k] 0xffffffff838b83b7
     0.01%  app      [unknown]         [k] 0xffffffff838b8ec7
     0.01%  app      [unknown]         [k] 0xffffffff838b95b4
     0.01%  app      [unknown]         [k] 0xffffffff8340118f
     0.01%  app      [unknown]         [k] 0xffffffff83cb6d61
     0.01%  app      [unknown]         [k] 0xffffffff838b8388
     0.00%  app      [unknown]         [k] 0xffffffff83b9867c
     0.00%  app      [unknown]         [k] 0xffffffff83bf079c
     0.00%  app      [unknown]         [k] 0xffffffff83c11c00
     0.00%  app      [unknown]         [k] 0xffffffff83cb6e46
     0.00%  app      [unknown]         [k] 0xffffffff83944e34
     0.00%  app      [unknown]         [k] 0xffffffff83bfdeab
     0.00%  app      [unknown]         [k] 0xffffffff84b130c9
     0.00%  app      [unknown]         [k] 0xffffffff838d9963
     0.00%  app      [unknown]         [k] 0xffffffff83c2dec6
     0.00%  app      [unknown]         [k] 0xffffffff84b349a0
     0.00%  app      [unknown]         [k] 0xffffffff839bd8e8
     0.00%  app      [unknown]         [k] 0xffffffff84b32ae6
     0.00%  app      [unknown]         [k] 0xffffffff84b321bb
     0.00%  app      [unknown]         [k] 0xffffffff83bfcc96
     0.00%  app      [unknown]         [k] 0xffffffff83bfdff6
     0.00%  app      [unknown]         [k] 0xffffffff83bfcd7c
     0.00%  app      [unknown]         [k] 0xffffffff83cba191
     0.00%  app      [unknown]         [k] 0xffffffff83bf0773
     0.00%  app      [unknown]         [k] 0xffffffff839bd8a0
     0.00%  app      [unknown]         [k] 0xffffffff83c35ef1
     0.00%  app      [unknown]         [k] 0xffffffff84b208e1
     0.00%  app      [unknown]         [k] 0xffffffff83bed520
     0.00%  app      [unknown]         [k] 0xffffffff83901bab
     0.00%  app      [unknown]         [k] 0xffffffff8397914e
     0.00%  app      [unknown]         [k] 0xffffffff838175a5
     0.00%  app      [unknown]         [k] 0xffffffff838d9a51
     0.00%  app      [unknown]         [k] 0xffffffff83750da9
     0.00%  app      [unknown]         [k] 0xffffffff83bfc80e
     0.00%  app      libc.so.6         [.] __GI___qsort_r
     0.00%  app      [unknown]         [k] 0xffffffff83bfdeb3
     0.00%  app      [unknown]         [k] 0xffffffff83cb3b76
     0.00%  app      [unknown]         [k] 0xffffffff83bf07ce
     0.00%  app      [unknown]         [k] 0xffffffff8381734e
     0.00%  app      [unknown]         [k] 0xffffffff83beb799
     0.00%  app      [unknown]         [k] 0xffffffff83bfe24a
     0.00%  app      libc.so.6         [.] __libc_malloc2
     0.00%  app      [unknown]         [k] 0xffffffff8393aaad
     0.00%  app      [unknown]         [k] 0xffffffff83400bb2
     0.00%  app      [unknown]         [k] 0xffffffff838d9acd
     0.00%  app      [unknown]         [k] 0xffffffff8397bd9e
     0.00%  app      [unknown]         [k] 0xffffffff83995d6d
     0.00%  app      [unknown]         [k] 0xffffffff84b0100b
     0.00%  app      [unknown]         [k] 0xffffffff838b8380
     0.00%  app      [unknown]         [k] 0xffffffff84b1ba28
     0.00%  app      [unknown]         [k] 0xffffffff838d9a98
     0.00%  app      [unknown]         [k] 0xffffffff837541a9
     0.00%  app      [unknown]         [k] 0xffffffff839bd8e4
     0.00%  app      [unknown]         [k] 0xffffffff838f7015
     0.00%  app      [unknown]         [k] 0xffffffff83974796
     0.00%  app      [unknown]         [k] 0xffffffff8398f685
     0.00%  app      [unknown]         [k] 0xffffffff838b967a
     0.00%  app      [unknown]         [k] 0xffffffff83cbbedd
     0.00%  app      [unknown]         [k] 0xffffffff839759a2
     0.00%  app      [unknown]         [k] 0xffffffff83cbd7c5
     0.00%  app      [unknown]         [k] 0xffffffff8397c1b8
     0.00%  app      [unknown]         [k] 0xffffffff83bfcce4
     0.00%  app      [unknown]         [k] 0xffffffff84b13095
     0.00%  app      [unknown]         [k] 0xffffffff83a9df70
     0.00%  app      [unknown]         [k] 0xffffffff83995143
     0.00%  app      [unknown]         [k] 0xffffffff83977dfc
     0.00%  app      [unknown]         [k] 0xffffffff837537f5
     0.00%  app      [unknown]         [k] 0xffffffff8398f539
     0.00%  app      [unknown]         [k] 0xffffffff84b32a15
     0.00%  app      [unknown]         [k] 0xffffffff838d926e
     0.00%  app      [unknown]         [k] 0xffffffff839795a4
     0.00%  app      [unknown]         [k] 0xffffffff838b9618
     0.00%  app      [unknown]         [k] 0xffffffff838a50b0
     0.00%  app      [unknown]         [k] 0xffffffff838db7a5
     0.00%  app      [unknown]         [k] 0xffffffff8384e405
     0.00%  app      [unknown]         [k] 0xffffffff84b1f8a9
     0.00%  app      [unknown]         [k] 0xffffffff83945840
     0.00%  app      [unknown]         [k] 0xffffffff83cb6d00
     0.00%  app      [unknown]         [k] 0xffffffff8398f6c3
     0.00%  app      [unknown]         [k] 0xffffffff83976b38
     0.00%  app      [unknown]         [k] 0xffffffff83972f00
     0.00%  app      [unknown]         [k] 0xffffffff83976215
     0.00%  app      [unknown]         [k] 0xffffffff839952e9
     0.00%  app      [unknown]         [k] 0xffffffff8398f58d
     0.00%  app      [unknown]         [k] 0xffffffff83753b80
     0.00%  app      [unknown]         [k] 0xffffffff83b993e7
     0.00%  app      [unknown]         [k] 0xffffffff838dce59
     0.00%  app      [unknown]         [k] 0xffffffff83cbd828
     0.00%  app      [unknown]         [k] 0xffffffff83978912
     0.00%  app      [unknown]         [k] 0xffffffff838eec85
     0.00%  app      [unknown]         [k] 0xffffffff83c37e57
     0.00%  app      [unknown]         [k] 0xffffffff838eed18
     0.00%  app      [unknown]         [k] 0xffffffff83c11eb6
     0.00%  app      [unknown]         [k] 0xffffffff83cbbee5
     0.00%  app      [unknown]         [k] 0xffffffff83753867
     0.00%  app      [unknown]         [k] 0xffffffff84b12905
     0.00%  app      [unknown]         [k] 0xffffffff83bfcbb0
     0.00%  app      [unknown]         [k] 0xffffffff8403cef3
     0.00%  app      [unknown]         [k] 0xffffffff83d52951
     0.00%  app      [unknown]         [k] 0xffffffff83809288
     0.00%  app      [unknown]         [k] 0xffffffff83bfe7ea
     0.00%  app      [unknown]         [k] 0xffffffff83753853
     0.00%  app      [unknown]         [k] 0xffffffff83b98605
     0.00%  app      [unknown]         [k] 0xffffffff83c64541
     0.00%  app      [unknown]         [k] 0xffffffff83cb6e4d
     0.00%  app      [unknown]         [k] 0xffffffff838b9154
     0.00%  app      [unknown]         [k] 0xffffffff83cb6d2b
     0.00%  app      [unknown]         [k] 0xffffffff837541b9
     0.00%  app      [unknown]         [k] 0xffffffff838d9391
     0.00%  app      [unknown]         [k] 0xffffffff83944e2d
     0.00%  app      [unknown]         [k] 0xffffffff8395f6c2
     0.00%  app      [unknown]         [k] 0xffffffff83bfc857
     0.00%  app      [unknown]         [k] 0xffffffff838ab256
     0.00%  app      [unknown]         [k] 0xffffffff83bfcbc9
     0.00%  app      [unknown]         [k] 0xffffffff838aa573
     0.00%  app      [unknown]         [k] 0xffffffff84053859
