# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu/cycles/P'
# Event count (approx.): 25145527819
#
# Overhead  Command  Shared Object         Symbol                          
# ........  .......  ....................  ................................
#
    20.01%  app      libc.so.6             [.] msort_with_tmp.part.0
    18.60%  app      app                   [.] aabb_ray_intersection
    10.11%  app      app                   [.] aabb_merge
     8.12%  app      libm.so.6             [.] __fmax
     7.03%  app      libm.so.6             [.] __fmin
     5.31%  app      app                   [.] fmin@plt
     4.11%  app      app                   [.] fmax@plt
     2.91%  app      app                   [.] get_first_object
     2.80%  app      app                   [.] box_ray_intersection
     2.38%  app      app                   [.] x_compare
     2.24%  app      app                   [.] y_compare
     2.12%  app      app                   [.] z_compare
     1.83%  app      app                   [.] triangle_ray_intersection
     1.78%  app      app                   [.] build_tree
     1.56%  app      libc.so.6             [.] __memmove_avx_unaligned_erms
     1.47%  app      app                   [.] build_boxes
     1.23%  app      app                   [.] sphere_ray_intersection
     0.94%  app      libc.so.6             [.] __memmove_avx_unaligned
     0.92%  app      app                   [.] is_shaded_by_object
     0.32%  app      app                   [.] trace_ray
     0.26%  app      app                   [.] get_surface_area
     0.23%  app      libc.so.6             [.] memcpy@@GLIBC_2.14@plt
     0.19%  app      app                   [.] main
     0.18%  app      [unknown]             [k] 0xffffffff83c2c68e
     0.15%  app      app                   [.] get_first_plane
     0.12%  app      libm.so.6             [.] __sincos_fma
     0.12%  app      app                   [.] get_first_hit
     0.10%  app      app                   [.] render
     0.09%  app      app                   [.] normalize
     0.09%  app      app                   [.] add_triangle
     0.09%  app      app                   [.] add_sphere
     0.08%  app      app                   [.] create_ray
     0.06%  app      [unknown]             [k] 0xffffffff84b349a0
     0.05%  app      app                   [.] rotate
     0.05%  app      [unknown]             [k] 0xffffffff83401268
     0.05%  app      app                   [.] add_box
     0.05%  app      app                   [.] get_box_result
     0.04%  app      [unknown]             [k] 0xffffffff84b34980
     0.04%  app      [unknown]             [k] 0xffffffff837afa20
     0.04%  app      app                   [.] is_shaded_by_plane
     0.04%  app      app                   [.] create_node
     0.04%  app      [unknown]             [k] 0xffffffff84b34985
     0.03%  app      libc.so.6             [.] qsort_r_mergesort
     0.03%  app      libc.so.6             [.] _int_malloc
     0.03%  app      libc.so.6             [.] __GI___qsort_r
     0.02%  app      app                   [.] color_to_pixel
     0.02%  app      libm.so.6             [.] __ieee754_pow_fma
     0.02%  app      [unknown]             [k] 0xffffffff838172ca
     0.02%  app      [unknown]             [k] 0xffffffff83b9863b
     0.02%  app      app                   [.] get_sphere_result
     0.01%  app      [unknown]             [k] 0xffffffff84b202e3
     0.01%  app      libc.so.6             [.] __libc_malloc2
