# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu/cycles/P'
# Event count (approx.): 6035319100
#
# Overhead  Command  Shared Object     Symbol                                     
# ........  .......  ................  ...........................................
#
    40.37%  app      app               [.] trace_ray
    18.44%  app      app               [.] build_tree
    14.39%  app      app               [.] packed_triangle_ray_intersection.isra.0
    11.08%  app      app               [.] packed_aabb_ray_intersection
     5.26%  app      app               [.] main
     1.58%  app      app               [.] get_surface_area
     1.33%  app      app               [.] setup_leaf.isra.0
     0.95%  app      [unknown]         [k] 0xffffffffa2a2c90e
     0.36%  app      app               [.] collapse_bvh_node
     0.15%  app      libm.so.6         [.] __ieee754_pow_fma
     0.14%  app      [unknown]         [k] 0xffffffffa2201268
     0.12%  app      [unknown]         [k] 0xffffffffa39369a0
     0.09%  app      [unknown]         [k] 0xffffffffa3936980
     0.09%  app      [unknown]         [k] 0xffffffffa3936985
     0.07%  app      [unknown]         [k] 0xffffffffa2a38419
     0.07%  app      [unknown]         [k] 0xffffffffa2a33bf2
     0.07%  app      [unknown]         [k] 0xffffffffa29feaf6
     0.07%  app      [unknown]         [k] 0xffffffffa2ab75bf
     0.05%  app      [unknown]         [k] 0xffffffffa39222fb
     0.05%  app      [unknown]         [k] 0xffffffffa299887b
     0.05%  app      [unknown]         [k] 0xffffffffa2ab7577
     0.05%  app      [unknown]         [k] 0xffffffffa29fce8a
     0.05%  app      [unknown]         [k] 0xffffffffa2a33bee
     0.05%  app      app               [.] create_node
     0.05%  app      [unknown]         [k] 0xffffffffa299ac9f
     0.05%  app      [unknown]         [k] 0xffffffffa27789cc
     0.04%  app      [unknown]         [k] 0xffffffffa2200b99
     0.04%  app      [unknown]         [k] 0xffffffffa2a120a3
     0.04%  app      [unknown]         [k] 0xffffffffa27bd9bc
     0.04%  app      [unknown]         [k] 0xffffffffa2a7eb6b
     0.04%  app      [unknown]         [k] 0xffffffffa2a15529
     0.04%  app      [unknown]         [k] 0xffffffffa2ab3f35
     0.04%  app      [unknown]         [k] 0xffffffffa29ebacd
     0.04%  app      [unknown]         [k] 0xffffffffa2abc266
     0.04%  app      [unknown]         [k] 0xffffffffa2a64789
     0.04%  app      [unknown]         [k] 0xffffffffa29fcee7
     0.04%  app      [unknown]         [k] 0xffffffffa29eba19
     0.04%  app      [unknown]         [k] 0xffffffffa2ab76dd
     0.04%  app      [unknown]         [k] 0xffffffffa393697e
     0.04%  app      [unknown]         [k] 0xffffffffa2a7b305
     0.04%  app      [unknown]         [k] 0xffffffffa26173b2
     0.04%  app      [unknown]         [k] 0xffffffffa2a38182
     0.04%  app      [unknown]         [k] 0xffffffffa2a13217
     0.04%  app      [unknown]         [k] 0xffffffffa29fead3
     0.04%  app      [unknown]         [k] 0xffffffffa2a11e89
     0.04%  app      [unknown]         [k] 0xffffffffa2ab71b5
     0.04%  app      [unknown]         [k] 0xffffffffa29fe4f5
     0.04%  app      [unknown]         [k] 0xffffffffa2a33bf8
     0.04%  app      [unknown]         [k] 0xffffffffa29fe309
     0.03%  app      [unknown]         [k] 0xffffffffa2ab759b
     0.03%  app      [unknown]         [k] 0xffffffffa3922291
     0.03%  app      [unknown]         [k] 0xffffffffa393698b
     0.03%  app      [unknown]         [k] 0xffffffffa2617459
     0.03%  app      [unknown]         [k] 0xffffffffa2ab75b6
     0.03%  app      [unknown]         [k] 0xffffffffa2a154c0
     0.03%  app      [unknown]         [k] 0xffffffffa29fcff8
     0.03%  app      [unknown]         [k] 0xffffffffa2ab756f
     0.03%  app      [unknown]         [k] 0xffffffffa2e543cb
     0.03%  app      [unknown]         [k] 0xffffffffa2a2c90a
     0.03%  app      [unknown]         [k] 0xffffffffa29c3ac6
     0.03%  app      [unknown]         [k] 0xffffffffa29fd004
     0.03%  app      [unknown]         [k] 0xffffffffa29fce37
     0.02%  app      [unknown]         [k] 0xffffffffa2804487
     0.02%  app      [unknown]         [k] 0xffffffffa27748a1
     0.02%  app      [unknown]         [k] 0xffffffffa29fcaa5
     0.02%  app      [unknown]         [k] 0xffffffffa2a7b143
     0.02%  app      [unknown]         [k] 0xffffffffa29f09e4
     0.02%  app      [unknown]         [k] 0xffffffffa2a3841c
     0.02%  app      [unknown]         [k] 0xffffffffa29feb07
     0.02%  app      [unknown]         [k] 0xffffffffa273ab25
     0.02%  app      [unknown]         [k] 0xffffffffa273dcd7
     0.02%  app      [unknown]         [k] 0xffffffffa29c3aca
     0.02%  app      [unknown]         [k] 0xffffffffa26aa712
     0.02%  app      [unknown]         [k] 0xffffffffa2a32af4
     0.02%  app      [unknown]         [k] 0xffffffffa2a339f4
     0.02%  app      [unknown]         [k] 0xffffffffa3922956
     0.02%  app      [unknown]         [k] 0xffffffffa2ab71e7
     0.02%  app      [unknown]         [k] 0xffffffffa2a1216a
     0.02%  app      [unknown]         [k] 0xffffffffa29c5fe2
     0.02%  app      [unknown]         [k] 0xffffffffa3934ae0
     0.02%  app      [unknown]         [k] 0xffffffffa29feb1e
     0.02%  app      [unknown]         [k] 0xffffffffa2a39817
     0.02%  app      [unknown]         [k] 0xffffffffa29fe1fb
     0.02%  app      [unknown]         [k] 0xffffffffa2a35010
     0.02%  app      [unknown]         [k] 0xffffffffa2a35016
     0.02%  app      [unknown]         [k] 0xffffffffa38ebd3b
     0.02%  app      [unknown]         [k] 0xffffffffa29eba4d
     0.02%  app      [unknown]         [k] 0xffffffffa29ed42c
     0.02%  app      [unknown]         [k] 0xffffffffa29f0a1b
     0.02%  app      [unknown]         [k] 0xffffffffa29fcf19
     0.02%  app      [unknown]         [k] 0xffffffffa2a34430
     0.02%  app      [unknown]         [k] 0xffffffffa2a3977f
     0.02%  app      [unknown]         [k] 0xffffffffa29fca72
     0.02%  app      [unknown]         [k] 0xffffffffa29fd107
     0.02%  app      [unknown]         [k] 0xffffffffa29fea66
     0.02%  app      [unknown]         [k] 0xffffffffa2a34eb1
     0.02%  app      [unknown]         [k] 0xffffffffa26a1ec8
     0.02%  app      [unknown]         [k] 0xffffffffa2a7eb6e
     0.02%  app      [unknown]         [k] 0xffffffffa2ab772d
     0.02%  app      [unknown]         [k] 0xffffffffa2a7b386
     0.02%  app      [unknown]         [k] 0xffffffffa2abdba4
     0.02%  app      [unknown]         [k] 0xffffffffa29fce40
     0.02%  app      [unknown]         [k] 0xffffffffa2a33c1a
     0.02%  app      [unknown]         [k] 0xffffffffa29fceec
     0.02%  app      [unknown]         [k] 0xffffffffa2a7eb06
     0.02%  app      [unknown]         [k] 0xffffffffa2ab76d9
     0.02%  app      [unknown]         [k] 0xffffffffa261afda
     0.02%  app      [unknown]         [k] 0xffffffffa29fd0fc
